일시,평균기온(℃),최고기온(℃),최저기온(℃),
2002-06-01,20.2,24.8,17.1,7.7
2002-06-02,22.9,30,15.3,14.7
2002-06-03,23.4,29.1,17.6,11.5
2002-06-04,22.4,27.6,18.2,9.4
2002-06-05,25.2,31.4,19.1,12.3
2002-06-06,25.9,31.2,21.2,10
2002-06-07,25.2,30.6,19.6,11
2002-06-08,22.1,27.1,19.4,7.7
2002-06-09,22.8,28,18.3,9.7
2002-06-10,22.4,26.6,20,6.6
2002-06-11,21.9,26.8,19,7.8
2002-06-12,18.6,22.9,16.6,6.3
2002-06-13,19.7,24.4,16,8.4
2002-06-14,20.4,25,16.4,8.6
2002-06-15,20.6,24.8,17.4,7.4
2002-06-16,22.4,28.6,15.7,12.9
2002-06-17,23.2,28.4,17.9,10.5
2002-06-18,23.4,28.9,19,9.9
2002-06-19,22.3,26.2,20.2,6
2002-06-20,22.2,26.1,19.2,6.9
2002-06-21,23.6,28.4,18.8,9.6
2002-06-22,23.7,29.2,18.9,10.3
2002-06-23,18.1,21.3,16.9,4.4
2002-06-24,16.4,17.7,15.3,2.4
2002-06-25,19.8,25,15.5,9.5
2002-06-26,20.9,27.7,14.5,13.2
2002-06-27,21.6,27.5,16.5,11
2002-06-28,23.6,30,17.4,12.6
2002-06-29,25.8,32,18.9,13.1
2002-06-30,26.3,31.5,22.4,9.1
